quotation_id,quotation_date,print_category,quantity,standard_size,width,height,paper_type,gsm,colour_mode,sides,page_count,finishing_type,urgency,delivery_requirement,printing_cost,finishing_cost,delivery_cost,total_price,location,data_source,access_date,data_type
SYN-0185,,stickers,5000,A6,,,ivory board,120.0,black and white,single-sided,,gloss lamination,urgent (1-2 days),delivery,23887.5,15000.0,350.0,47015.0,Gampaha,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0186,,stickers,750,A6,,,sticker paper,250.0,black and white,single-sided,,embossing,rush (same/next day),self-collection,3654.79,6000.0,0.0,13033.96,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0187,,stickers,2000,A3,,,bond paper,120.0,black and white,single-sided,,binding,rush (same/next day),self-collection,6879.6,30000.0,0.0,49787.46,Gampaha,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0188,,stickers,150,A5,,,bond paper,120.0,full colour,single-sided,,spot UV,urgent (1-2 days),island-wide courier,953.32,1800.0,650.0,3953.98,Kandy,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0189,,stickers,300,A3,,,sticker paper,100.0,black and white,double-sided,,foil finishing,rush (same/next day),island-wide courier,2207.12,3000.0,650.0,7679.61,Gampaha,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0190,,stickers,150,A3,,,sticker paper,300.0,black and white,single-sided,,embossing,rush (same/next day),self-collection,869.8,1200.0,0.0,2794.23,Kandy,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0191,,stickers,50,A3,,,sticker paper,350.0,black and white,double-sided,,binding,rush (same/next day),island-wide courier,497.84,750.0,650.0,2334.58,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0192,,stickers,2000,A3,,,bristol board,120.0,black and white,double-sided,,binding,urgent (1-2 days),delivery,15899.52,30000.0,350.0,55429.42,Colombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0193,,stickers,150,A4,,,ivory board,250.0,full colour,double-sided,,spot UV,urgent (1-2 days),island-wide courier,2383.29,1800.0,650.0,5669.95,Jaffna,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0194,,stickers,500,A3,,,bristol board,350.0,black and white,double-sided,,embossing,rush (same/next day),island-wide courier,5501.13,4000.0,650.0,13476.53,Jaffna,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0201,,labels,2000,A5,,,sticker paper,250.0,black and white,double-sided,,matte lamination,standard,delivery,13759.2,6000.0,350.0,20109.2,Jaffna,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0202,,labels,2000,A3,,,bond paper,120.0,full colour,single-sided,,perforation,standard,self-collection,9828.0,4000.0,0.0,13828.0,Galle,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0203,,labels,500,A5,,,sticker paper,250.0,black and white,double-sided,,perforation,standard,delivery,3898.44,1000.0,350.0,5248.44,Galle,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0204,,labels,750,A5,,,bristol board,300.0,full colour,double-sided,,foil finishing,urgent (1-2 days),self-collection,11324.04,7500.0,0.0,22588.85,Jaffna,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0205,,labels,100,A4,,,sticker paper,250.0,black and white,double-sided,,creasing,urgent (1-2 days),island-wide courier,889.76,200.0,650.0,1957.71,Colombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0206,,labels,5000,A3,,,bond paper,250.0,black and white,double-sided,,spot UV,standard,island-wide courier,30958.2,60000.0,650.0,91608.2,Negombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0207,,labels,50,A6,,,bristol board,250.0,black and white,double-sided,,binding,rush (same/next day),self-collection,596.23,750.0,0.0,1817.41,Gampaha,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0208,,labels,5000,A6,,,art paper,250.0,black and white,single-sided,,perforation,urgent (1-2 days),island-wide courier,21498.75,10000.0,650.0,38448.5,Gampaha,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0209,,labels,750,A5,,,bond paper,120.0,full colour,double-sided,,perforation,urgent (1-2 days),island-wide courier,6683.04,1500.0,650.0,10469.65,Kalutara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0210,,labels,1000,A4,,,bond paper,100.0,full colour,double-sided,,spot UV,urgent (1-2 days),delivery,7711.2,12000.0,350.0,24003.44,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0211,,labels,500,A6,,,bristol board,250.0,full colour,double-sided,,gloss lamination,rush (same/next day),island-wide courier,7239.96,1500.0,650.0,12448.95,Matara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0212,,labels,500,A5,,,bristol board,100.0,full colour,single-sided,,gloss lamination,urgent (1-2 days),delivery,3944.85,1500.0,350.0,6883.82,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0213,,labels,200,A4,,,sticker paper,100.0,full colour,double-sided,,matte lamination,standard,island-wide courier,2102.02,600.0,650.0,3352.02,Negombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0214,,labels,50,A5,,,sticker paper,350.0,black and white,single-sided,,none,standard,delivery,311.15,0.0,350.0,661.15,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0215,,labels,100,A6,,,bond paper,350.0,black and white,single-sided,,binding,rush (same/next day),delivery,543.27,1500.0,350.0,3108.41,Negombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0216,,labels,300,A3,,,bristol board,120.0,black and white,single-sided,,spot UV,rush (same/next day),island-wide courier,1828.44,3600.0,650.0,7978.4,Galle,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0217,,labels,750,A3,,,art paper,100.0,full colour,double-sided,,matte lamination,rush (same/next day),delivery,7282.8,2250.0,350.0,13219.28,Colombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0218,,labels,300,A6,,,sticker paper,300.0,full colour,single-sided,,foil finishing,urgent (1-2 days),island-wide courier,2357.04,3000.0,650.0,7078.45,Galle,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0219,,labels,2000,A6,,,bristol board,250.0,black and white,single-sided,,embossing,standard,island-wide courier,11179.35,16000.0,650.0,27829.35,Kaduwela,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0220,,labels,150,A6,,,bristol board,80.0,black and white,double-sided,,matte lamination,rush (same/next day),island-wide courier,1482.94,450.0,650.0,3259.46,Matara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0221,,packaging boxes,2000,A5,,,art paper,120.0,black and white,double-sided,,matte lamination,standard,delivery,104832.0,6000.0,350.0,111182.0,Negombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0222,,packaging boxes,50,A3,,,ivory board,120.0,full colour,single-sided,,foil finishing,urgent (1-2 days),delivery,3900.0,500.0,350.0,5630.0,Kaduwela,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0223,,packaging boxes,500,A6,,,bond paper,350.0,black and white,single-sided,,creasing,urgent (1-2 days),self-collection,20402.55,1000.0,0.0,25683.06,Gampaha,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0224,,packaging boxes,300,A6,,,art paper,350.0,full colour,double-sided,,spot UV,standard,self-collection,33649.92,3600.0,0.0,37249.92,Galle,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0225,,packaging boxes,1000,A4,,,sticker paper,350.0,full colour,double-sided,,perforation,urgent (1-2 days),island-wide courier,91440.0,2000.0,650.0,112778.0,Negombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0226,,packaging boxes,5000,A3,,,sticker paper,80.0,full colour,double-sided,,gloss lamination,rush (same/next day),self-collection,360000.0,15000.0,0.0,506250.0,Gampaha,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0227,,packaging boxes,2000,A3,,,sticker paper,100.0,black and white,single-sided,,embossing,rush (same/next day),delivery,64260.0,16000.0,350.0,108701.0,Negombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0228,,packaging boxes,5000,A6,,,art paper,250.0,black and white,double-sided,,creasing,standard,island-wide courier,294840.0,10000.0,650.0,305490.0,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0229,,packaging boxes,5000,A3,,,sticker paper,80.0,full colour,double-sided,,none,urgent (1-2 days),delivery,360000.0,0.0,350.0,432350.0,Negombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0230,,packaging boxes,5000,A3,,,art paper,80.0,full colour,double-sided,,gloss lamination,rush (same/next day),self-collection,360000.0,15000.0,0.0,506250.0,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0231,,packaging boxes,50,A6,,,ivory board,120.0,black and white,single-sided,,binding,urgent (1-2 days),delivery,2730.0,750.0,350.0,4526.0,Matara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0232,,packaging boxes,750,A6,,,sticker paper,80.0,full colour,single-sided,,gloss lamination,standard,island-wide courier,38250.0,2250.0,650.0,41150.0,Gampaha,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0233,,packaging boxes,150,A6,,,bond paper,350.0,black and white,single-sided,,foil finishing,urgent (1-2 days),island-wide courier,6984.87,1500.0,650.0,10831.85,Gampaha,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0234,,packaging boxes,750,A3,,,bond paper,100.0,full colour,double-sided,,matte lamination,urgent (1-2 days),self-collection,56181.6,2250.0,0.0,70117.92,Colombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0235,,packaging boxes,750,A3,,,art paper,300.0,black and white,single-sided,,gloss lamination,standard,island-wide courier,32665.5,2250.0,650.0,35565.5,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0236,,packaging boxes,5000,A4,,,art paper,350.0,black and white,single-sided,,binding,urgent (1-2 days),self-collection,200025.0,75000.0,0.0,330030.0,Colombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0237,,packaging boxes,150,A4,,,bristol board,300.0,full colour,single-sided,,embossing,standard,delivery,13845.78,1200.0,350.0,15395.78,Gampaha,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0238,,packaging boxes,200,A4,,,bristol board,250.0,black and white,double-sided,,perforation,rush (same/next day),island-wide courier,18806.86,400.0,650.0,26579.26,Matara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0239,,packaging boxes,2000,A6,,,art paper,250.0,full colour,double-sided,,perforation,urgent (1-2 days),island-wide courier,168480.0,4000.0,650.0,207626.0,Matara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0240,,packaging boxes,150,A4,,,ivory board,120.0,full colour,single-sided,,spot UV,standard,delivery,11349.0,1800.0,350.0,13499.0,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0241,,banners,5,,2.0,3.0,,,full colour,single-sided,,gloss lamination,rush (same/next day),island-wide courier,7500.0,15.0,650.0,10795.25,Galle,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0242,,banners,2,,6.0,8.0,,,full colour,single-sided,,gloss lamination,standard,delivery,24000.0,6.0,350.0,24356.0,Kandy,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0243,,banners,3,,6.0,8.0,,,full colour,single-sided,,none,rush (same/next day),island-wide courier,36000.0,0.0,650.0,49250.0,Negombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0244,,banners,3,,2.0,3.0,,,full colour,single-sided,,gloss lamination,rush (same/next day),island-wide courier,4500.0,9.0,650.0,6737.15,Kalutara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0245,,banners,1,,2.0,3.0,,,full colour,single-sided,,none,rush (same/next day),island-wide courier,1500.0,0.0,650.0,2675.0,Gampaha,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0246,,banners,5,,3.0,4.0,,,full colour,single-sided,,none,urgent (1-2 days),delivery,15000.0,0.0,350.0,18350.0,Colombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0247,,banners,2,,3.0,4.0,,,full colour,single-sided,,matte lamination,standard,island-wide courier,6000.0,6.0,650.0,6656.0,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0248,,banners,2,,3.0,4.0,,,full colour,single-sided,,gloss lamination,standard,island-wide courier,6000.0,6.0,650.0,6656.0,Jaffna,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0249,,banners,5,,4.0,6.0,,,full colour,single-sided,,gloss lamination,rush (same/next day),island-wide courier,30000.0,15.0,650.0,41170.25,Jaffna,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0250,,banners,3,,4.0,6.0,,,full colour,single-sided,,gloss lamination,rush (same/next day),delivery,18000.0,9.0,350.0,24662.15,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0251,,banners,5,,2.0,3.0,,,full colour,single-sided,,gloss lamination,standard,delivery,7500.0,15.0,350.0,7865.0,Jaffna,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0252,,banners,1,,6.0,8.0,,,full colour,single-sided,,matte lamination,standard,island-wide courier,12000.0,3.0,650.0,12653.0,Galle,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0253,,banners,3,,2.0,3.0,,,full colour,single-sided,,matte lamination,rush (same/next day),island-wide courier,4500.0,9.0,650.0,6737.15,Matara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0254,,banners,2,,4.0,6.0,,,full colour,single-sided,,none,urgent (1-2 days),self-collection,12000.0,0.0,0.0,14400.0,Matara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0255,,banners,2,,8.0,10.0,,,full colour,single-sided,,gloss lamination,rush (same/next day),island-wide courier,40000.0,6.0,650.0,54658.1,Jaffna,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0256,,banners,5,,4.0,6.0,,,full colour,single-sided,,matte lamination,rush (same/next day),island-wide courier,30000.0,15.0,650.0,41170.25,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0257,,banners,2,,6.0,8.0,,,full colour,single-sided,,matte lamination,urgent (1-2 days),self-collection,24000.0,6.0,0.0,28807.2,Galle,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0258,,banners,5,,10.0,15.0,,,full colour,single-sided,,none,rush (same/next day),island-wide courier,187500.0,0.0,650.0,253775.0,Colombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0259,,banners,1,,8.0,10.0,,,full colour,single-sided,,none,rush (same/next day),self-collection,20000.0,0.0,0.0,27000.0,Colombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0260,,banners,2,,6.0,8.0,,,full colour,single-sided,,matte lamination,standard,self-collection,24000.0,6.0,0.0,24006.0,Galle,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
PUB-0013,,photocopy,1,A4,,,copy paper,80.0,black and white,single-sided,1.0,none,,,10.0,0.0,0.0,10.0,Kelaniya,https://lib.niibs.lk/photocopy-and-printout-service/,2026-08-20,Publicly available Sri Lankan price
PUB-0014,,photocopy,1,A4,,,copy paper,80.0,black and white,double-sided,1.0,none,,,15.0,0.0,0.0,15.0,Kelaniya,https://lib.niibs.lk/photocopy-and-printout-service/,2026-08-20,Publicly available Sri Lankan price
PUB-0015,,photocopy,1,A4,,,copy paper,80.0,full colour,single-sided,1.0,none,,,25.0,0.0,0.0,25.0,Kelaniya,https://lib.niibs.lk/photocopy-and-printout-service/,2026-08-20,Publicly available Sri Lankan price
PUB-0016,,photocopy,1,A4,,,copy paper,80.0,full colour,double-sided,1.0,none,,,40.0,0.0,0.0,40.0,Kelaniya,https://lib.niibs.lk/photocopy-and-printout-service/,2026-08-20,Publicly available Sri Lankan price
PUB-0017,,document printout,1,A4,,,copy paper,80.0,black and white,single-sided,1.0,none,,,10.0,0.0,0.0,10.0,Kelaniya,https://lib.niibs.lk/photocopy-and-printout-service/,2026-08-20,Publicly available Sri Lankan price
PUB-0018,,document printout,1,A4,,,copy paper,80.0,black and white,double-sided,1.0,none,,,15.0,0.0,0.0,15.0,Kelaniya,https://lib.niibs.lk/photocopy-and-printout-service/,2026-08-20,Publicly available Sri Lankan price
PUB-0019,,document printout,1,A4,,,copy paper,80.0,full colour,single-sided,1.0,none,,,25.0,0.0,0.0,25.0,Kelaniya,https://lib.niibs.lk/photocopy-and-printout-service/,2026-08-20,Publicly available Sri Lankan price
PUB-0020,,document printout,1,A4,,,copy paper,80.0,full colour,double-sided,1.0,none,,,40.0,0.0,0.0,40.0,Kelaniya,https://lib.niibs.lk/photocopy-and-printout-service/,2026-08-20,Publicly available Sri Lankan price
PUB-0021,,photocopy,1,A5,,,copy paper,80.0,black and white,,1.0,none,,,3.0,0.0,0.0,3.0,Belihuloya,https://www.sab.ac.lk/lib/other-services,2026-08-20,Publicly available Sri Lankan price
PUB-0022,,photocopy,1,A4,,,copy paper,80.0,black and white,,1.0,none,,,4.0,0.0,0.0,4.0,Belihuloya,https://www.sab.ac.lk/lib/other-services,2026-08-20,Publicly available Sri Lankan price
PUB-0023,,photocopy,1,A3,,,copy paper,80.0,black and white,,1.0,none,,,8.0,0.0,0.0,8.0,Belihuloya,https://www.sab.ac.lk/lib/other-services,2026-08-20,Publicly available Sri Lankan price
PUB-0024,,photocopy,1,B5,,,copy paper,80.0,black and white,,1.0,none,,,4.0,0.0,0.0,4.0,Belihuloya,https://www.sab.ac.lk/lib/other-services,2026-08-20,Publicly available Sri Lankan price
PUB-0025,,photocopy,1,B4,,,copy paper,80.0,black and white,,1.0,none,,,8.0,0.0,0.0,8.0,Belihuloya,https://www.sab.ac.lk/lib/other-services,2026-08-20,Publicly available Sri Lankan price
PUB-0026,,document printout,1,A4,,,copy paper,80.0,black and white,single-sided,1.0,none,,,10.0,0.0,0.0,10.0,Belihuloya,https://www.sab.ac.lk/lib/other-services,2026-08-20,Publicly available Sri Lankan price
PUB-0027,,document printout,1,A3,,,copy paper,80.0,black and white,single-sided,1.0,none,,,20.0,0.0,0.0,20.0,Belihuloya,https://www.sab.ac.lk/lib/other-services,2026-08-20,Publicly available Sri Lankan price
PUB-0028,,document printout,1,A4,,,copy paper,80.0,full colour,single-sided,1.0,none,,,50.0,0.0,0.0,50.0,Belihuloya,https://www.sab.ac.lk/lib/other-services,2026-08-20,Publicly available Sri Lankan price
PUB-0029,,document printout,1,A3,,,copy paper,80.0,full colour,single-sided,1.0,none,,,80.0,0.0,0.0,80.0,Belihuloya,https://www.sab.ac.lk/lib/other-services,2026-08-20,Publicly available Sri Lankan price
PUB-0030,,spiral binding,1,A4,,,copy paper,80.0,,,100.0,spiral binding,,,0.0,100.0,0.0,100.0,Belihuloya,https://www.sab.ac.lk/lib/other-services,2026-08-20,Publicly available Sri Lankan price
PUB-0031,,spiral binding,1,B4,,,copy paper,80.0,,,100.0,spiral binding,,,0.0,150.0,0.0,150.0,Belihuloya,https://www.sab.ac.lk/lib/other-services,2026-08-20,Publicly available Sri Lankan price
PUB-0032,,spiral binding,1,A3,,,copy paper,80.0,,,100.0,spiral binding,,,0.0,200.0,0.0,200.0,Belihuloya,https://www.sab.ac.lk/lib/other-services,2026-08-20,Publicly available Sri Lankan price
PUB-0033,,spiral binding,1,A4,,,copy paper,80.0,,,200.0,spiral binding,,,0.0,150.0,0.0,150.0,Belihuloya,https://www.sab.ac.lk/lib/other-services,2026-08-20,Publicly available Sri Lankan price
PUB-0034,,spiral binding,1,B4,,,copy paper,80.0,,,200.0,spiral binding,,,0.0,250.0,0.0,250.0,Belihuloya,https://www.sab.ac.lk/lib/other-services,2026-08-20,Publicly available Sri Lankan price
PUB-0035,,spiral binding,1,A3,,,copy paper,80.0,,,200.0,spiral binding,,,0.0,200.0,0.0,200.0,Belihuloya,https://www.sab.ac.lk/lib/other-services,2026-08-20,Publicly available Sri Lankan price
PUB-0036,,spiral binding,1,A4,,,copy paper,80.0,,,300.0,spiral binding,,,0.0,200.0,0.0,200.0,Belihuloya,https://www.sab.ac.lk/lib/other-services,2026-08-20,Publicly available Sri Lankan price
PUB-0037,,spiral binding,1,B4,,,copy paper,80.0,,,300.0,spiral binding,,,0.0,300.0,0.0,300.0,Belihuloya,https://www.sab.ac.lk/lib/other-services,2026-08-20,Publicly available Sri Lankan price
PUB-0038,,spiral binding,1,A3,,,copy paper,80.0,,,300.0,spiral binding,,,0.0,250.0,0.0,250.0,Belihuloya,https://www.sab.ac.lk/lib/other-services,2026-08-20,Publicly available Sri Lankan price
PUB-0039,,photocopy,1,A4,,,copy paper,80.0,black and white,,1.0,none,,,4.0,0.0,0.0,4.0,Sri Lanka,https://photocopy.lk/,2026-08-20,Publicly available Sri Lankan price
PUB-0040,,photocopy,1,A3,,,copy paper,80.0,black and white,,1.0,none,,,8.0,0.0,0.0,8.0,Sri Lanka,https://photocopy.lk/,2026-08-20,Publicly available Sri Lankan price
PUB-0041,,photocopy,1,A4,,,copy paper,80.0,full colour,,1.0,none,,,17.0,0.0,0.0,17.0,Sri Lanka,https://photocopy.lk/,2026-08-20,Publicly available Sri Lankan price
PUB-0042,,photocopy,1,A3,,,copy paper,80.0,full colour,,1.0,none,,,30.0,0.0,0.0,30.0,Sri Lanka,https://photocopy.lk/,2026-08-20,Publicly available Sri Lankan price
PUB-0043,,photocopy,1,A4,,,copy paper,80.0,black and white,single-sided,1.0,none,,,15.0,0.0,0.0,15.0,Sri Lanka,https://english.dg.lk/prices/,2026-08-20,Publicly available Sri Lankan price
PUB-0044,,photocopy,10,A4,,,copy paper,80.0,black and white,single-sided,1.0,none,,,140.0,0.0,0.0,140.0,Sri Lanka,https://english.dg.lk/prices/,2026-08-20,Publicly available Sri Lankan price
PUB-0045,,photocopy,100,A4,,,copy paper,80.0,black and white,single-sided,1.0,none,,,1300.0,0.0,0.0,1300.0,Sri Lanka,https://english.dg.lk/prices/,2026-08-20,Publicly available Sri Lankan price
PUB-0046,,photocopy,1000,A4,,,copy paper,80.0,black and white,single-sided,1.0,none,,,12000.0,0.0,0.0,12000.0,Sri Lanka,https://english.dg.lk/prices/,2026-08-20,Publicly available Sri Lankan price
PUB-0047,,photocopy,1,A3,,,copy paper,80.0,black and white,single-sided,1.0,none,,,30.0,0.0,0.0,30.0,Sri Lanka,https://english.dg.lk/prices/,2026-08-20,Publicly available Sri Lankan price
PUB-0048,,photocopy,100,A3,,,copy paper,80.0,black and white,single-sided,1.0,none,,,2600.0,0.0,0.0,2600.0,Sri Lanka,https://english.dg.lk/prices/,2026-08-20,Publicly available Sri Lankan price
PUB-0049,,photocopy,1000,A3,,,copy paper,80.0,black and white,single-sided,1.0,none,,,24000.0,0.0,0.0,24000.0,Sri Lanka,https://english.dg.lk/prices/,2026-08-20,Publicly available Sri Lankan price
PUB-0050,,photocopy,1,A4,,,copy paper,80.0,full colour,single-sided,1.0,none,,,50.0,0.0,0.0,50.0,Sri Lanka,https://english.dg.lk/prices/,2026-08-20,Publicly available Sri Lankan price
PUB-0051,,photocopy,10,A4,,,copy paper,80.0,full colour,single-sided,1.0,none,,,450.0,0.0,0.0,450.0,Sri Lanka,https://english.dg.lk/prices/,2026-08-20,Publicly available Sri Lankan price
PUB-0052,,photocopy,100,A4,,,copy paper,80.0,full colour,single-sided,1.0,none,,,4000.0,0.0,0.0,4000.0,Sri Lanka,https://english.dg.lk/prices/,2026-08-20,Publicly available Sri Lankan price
PUB-0053,,photocopy,1000,A4,,,copy paper,80.0,full colour,single-sided,1.0,none,,,35000.0,0.0,0.0,35000.0,Sri Lanka,https://english.dg.lk/prices/,2026-08-20,Publicly available Sri Lankan price
PUB-0054,,photocopy,1,A3,,,copy paper,80.0,full colour,single-sided,1.0,none,,,100.0,0.0,0.0,100.0,Sri Lanka,https://english.dg.lk/prices/,2026-08-20,Publicly available Sri Lankan price
PUB-0055,,photocopy,100,A3,,,copy paper,80.0,full colour,single-sided,1.0,none,,,8000.0,0.0,0.0,8000.0,Sri Lanka,https://english.dg.lk/prices/,2026-08-20,Publicly available Sri Lankan price
PUB-0056,,photocopy,1000,A3,,,copy paper,80.0,full colour,single-sided,1.0,none,,,70000.0,0.0,0.0,70000.0,Sri Lanka,https://english.dg.lk/prices/,2026-08-20,Publicly available Sri Lankan price
PUB-0057,,lamination,1,A4,,,laminating film,,,single-sided,1.0,cold lamination,,,0.0,25.0,0.0,25.0,Sri Lanka,https://english.dg.lk/prices/,2026-08-20,Publicly available Sri Lankan price
PUB-0058,,lamination,10,A4,,,laminating film,,,single-sided,1.0,cold lamination,,,0.0,225.0,0.0,225.0,Sri Lanka,https://english.dg.lk/prices/,2026-08-20,Publicly available Sri Lankan price
PUB-0059,,lamination,100,A4,,,laminating film,,,single-sided,1.0,cold lamination,,,0.0,2000.0,0.0,2000.0,Sri Lanka,https://english.dg.lk/prices/,2026-08-20,Publicly available Sri Lankan price
PUB-0060,,lamination,1,A4,,,laminating film,,,double-sided,1.0,cold lamination,,,0.0,30.0,0.0,30.0,Sri Lanka,https://english.dg.lk/prices/,2026-08-20,Publicly available Sri Lankan price
PUB-0061,,lamination,10,A4,,,laminating film,,,double-sided,1.0,cold lamination,,,0.0,275.0,0.0,275.0,Sri Lanka,https://english.dg.lk/prices/,2026-08-20,Publicly available Sri Lankan price
PUB-0062,,lamination,100,A4,,,laminating film,,,double-sided,1.0,cold lamination,,,0.0,2500.0,0.0,2500.0,Sri Lanka,https://english.dg.lk/prices/,2026-08-20,Publicly available Sri Lankan price
PUB-0063,,lamination,1,A3,,,laminating film,,,single-sided,1.0,cold lamination,,,0.0,50.0,0.0,50.0,Sri Lanka,https://english.dg.lk/prices/,2026-08-20,Publicly available Sri Lankan price
PUB-0064,,lamination,10,A3,,,laminating film,,,single-sided,1.0,cold lamination,,,0.0,450.0,0.0,450.0,Sri Lanka,https://english.dg.lk/prices/,2026-08-20,Publicly available Sri Lankan price
PUB-0065,,lamination,1,A3,,,laminating film,,,double-sided,1.0,cold lamination,,,0.0,60.0,0.0,60.0,Sri Lanka,https://english.dg.lk/prices/,2026-08-20,Publicly available Sri Lankan price
PUB-0066,,lamination,10,A3,,,laminating film,,,double-sided,1.0,cold lamination,,,0.0,550.0,0.0,550.0,Sri Lanka,https://english.dg.lk/prices/,2026-08-20,Publicly available Sri Lankan price
PUB-0067,,photo printing,1,4R,,,photo paper,230.0,full colour,single-sided,1.0,gloss finish,,,120.0,0.0,0.0,120.0,Sri Lanka,https://seyaimaging.com/,2026-08-20,Publicly available Sri Lankan price
